07:10:01.819 :: ##### 프로그램 재시작 #####
08:59:50.736 :: False 0
08:59:50.741 :: [매수] :: 대화제약 가격:12700
08:59:50.741 :: False 0
08:59:50.746 :: [매수] :: 셀트리온 가격:75500
08:59:51.846 :: False 0
08:59:51.851 :: False 0
08:59:51.851 :: False 0
08:59:52.906 :: False 0
08:59:52.911 :: False 0
08:59:52.911 :: False 0
08:59:54.036 :: False 0
08:59:54.041 :: False 0
08:59:54.041 :: False 0
08:59:55.171 :: False 0
08:59:55.176 :: False 0
08:59:55.176 :: False 0
08:59:56.241 :: False 0
08:59:56.241 :: False 0
08:59:56.241 :: False 0
08:59:57.371 :: False 0
08:59:57.371 :: False 0
08:59:57.376 :: False 0
08:59:58.506 :: False 0
08:59:58.506 :: False 0
08:59:58.511 :: False 0
08:59:59.631 :: False 0
08:59:59.636 :: False 0
08:59:59.636 :: False 0
09:00:00.676 :: False 0
09:00:00.681 :: False 0
09:00:00.681 :: False 0
09:00:00.861 :: JIF :: 21-장 시작
09:00:01.753 :: False 0
09:00:01.753 :: False 0
09:00:01.758 :: False 0
09:00:02.958 :: False 0
09:00:02.958 :: [매수] :: 서울옥션 가격:11250
09:00:04.023 :: False 1
09:00:05.153 :: False 1
09:00:05.158 :: [매수] :: 마이크로컨텍솔 가격:14250
09:00:06.233 :: False 1
09:00:07.333 :: False 3
09:00:08.468 :: False 4
09:00:09.543 :: False 4
09:00:10.653 :: False 4
09:00:11.768 :: False 4
09:00:12.844 :: False 4
09:00:14.004 :: False 4
09:00:15.114 :: False 5
09:00:16.224 :: False 5
09:00:17.314 :: False 5
09:00:18.409 :: False 5
09:00:19.566 :: False 5
09:00:20.623 :: False 5
09:00:21.733 :: False 5
09:00:22.823 :: False 5
09:00:23.953 :: False 5
09:00:25.098 :: False 5
09:00:26.158 :: False 5
09:00:27.318 :: False 5
09:00:28.428 :: False 5
09:00:29.468 :: False 5
09:00:30.633 :: False 5
09:00:31.713 :: False 5
09:00:32.828 :: False 5
09:00:33.963 :: False 5
09:00:35.083 :: False 5
09:00:36.158 :: False 5
09:00:37.283 :: False 5
09:00:38.353 :: False 5
09:00:39.518 :: False 5
09:00:40.593 :: False 5
09:00:41.672 :: False 5
09:00:42.782 :: False 5
09:00:43.927 :: False 5
09:00:44.997 :: False 5
09:00:46.117 :: False 5
09:00:47.260 :: False 5
09:00:48.310 :: False 5
09:00:49.480 :: False 5
09:00:50.545 :: False 5
09:00:51.710 :: False 5
09:00:52.750 :: False 5
09:00:53.860 :: False 5
09:00:54.975 :: False 5
09:00:56.040 :: False 5
09:00:57.230 :: False 5
09:00:58.320 :: False 5
09:00:59.430 :: False 5
09:01:00.530 :: False 5
09:01:01.605 :: False 5
09:01:02.700 :: False 5
09:01:03.860 :: False 5
09:01:04.975 :: False 5
09:01:06.100 :: False 5
09:01:07.205 :: False 5
09:01:08.240 :: False 5
09:01:09.410 :: False 5
09:01:10.525 :: False 5
09:01:11.595 :: False 5
09:01:12.695 :: False 5
09:01:13.900 :: False 5
09:01:14.938 :: False 5
09:01:16.068 :: False 5
09:01:17.183 :: False 5
09:01:18.233 :: False 5
09:01:19.318 :: False 5
09:01:20.427 :: False 5
09:01:21.543 :: False 5
09:01:22.718 :: False 5
09:01:23.808 :: False 5
09:01:24.893 :: False 5
09:01:25.993 :: False 5
09:01:27.083 :: False 5
09:01:28.188 :: False 5
09:01:29.358 :: False 5
09:01:30.433 :: False 5
09:01:31.518 :: False 5
09:01:32.628 :: False 5
09:01:33.733 :: False 5
09:01:34.894 :: False 5
09:01:35.944 :: False 5
09:01:37.114 :: False 5
09:01:38.169 :: False 5
09:01:39.284 :: False 5
09:01:40.724 :: False 5
09:01:41.471 :: False 5
09:01:42.576 :: False 5
09:01:43.751 :: False 5
09:01:44.866 :: False 5
09:01:45.916 :: False 5
09:01:47.015 :: False 5
09:01:48.130 :: False 5
09:01:49.234 :: False 5
09:01:50.334 :: False 5
09:01:51.504 :: False 5
09:01:52.574 :: False 5
09:01:53.664 :: False 5
09:01:54.824 :: False 5
09:01:55.939 :: False 5
09:01:56.989 :: False 5
09:01:58.089 :: False 5
09:01:59.264 :: False 5
09:02:00.314 :: False 5
09:02:01.404 :: False 5
09:02:02.514 :: False 5
09:02:03.694 :: False 5
09:02:04.774 :: False 5
09:02:05.894 :: False 5
09:02:06.959 :: False 5
09:02:08.064 :: False 5
09:02:09.219 :: False 5
09:02:10.294 :: False 5
09:02:11.384 :: False 5
09:02:12.544 :: False 5
09:02:13.669 :: False 5
09:02:14.764 :: False 5
09:02:15.854 :: False 5
09:02:16.977 :: False 5
09:02:18.052 :: False 5
09:02:19.182 :: False 5
09:02:20.253 :: False 5
09:02:21.400 :: False 5
09:02:22.535 :: False 5
09:02:23.585 :: False 5
09:02:24.680 :: False 5
09:02:25.797 :: False 5
09:02:26.932 :: False 5
09:02:28.037 :: False 5
09:02:29.122 :: False 5
09:02:30.217 :: False 5
09:02:31.332 :: False 5
09:02:32.497 :: False 5
09:02:33.592 :: False 5
09:02:34.627 :: False 5
09:02:35.747 :: False 5
09:02:36.853 :: False 5
09:02:37.963 :: False 5
09:02:39.086 :: False 5
09:02:40.191 :: False 5
09:02:41.353 :: False 5
09:02:42.463 :: False 5
09:02:43.553 :: False 5
09:02:44.613 :: False 5
09:02:45.778 :: False 5
09:02:46.908 :: False 5
09:02:47.913 :: False 5
09:02:49.043 :: False 5
09:02:50.228 :: False 5
09:02:51.303 :: False 5
09:02:52.378 :: False 5
09:02:53.478 :: False 5
09:02:54.608 :: False 5
09:02:55.748 :: False 5
09:02:56.863 :: False 5
09:02:57.973 :: False 5
09:02:59.078 :: False 5
09:03:00.128 :: False 5
09:03:01.245 :: False 5
09:03:02.375 :: False 5
09:03:03.475 :: False 5
09:03:04.595 :: False 5
09:03:05.704 :: False 5
09:03:06.779 :: False 5
09:03:07.879 :: False 5
09:03:08.979 :: False 5
09:03:10.124 :: False 5
09:03:11.211 :: False 5
09:03:12.301 :: False 5
09:03:13.421 :: False 5
09:03:14.546 :: False 5
09:03:15.626 :: False 5
09:03:16.736 :: False 5
09:03:17.886 :: False 5
09:03:18.960 :: False 5
09:03:20.060 :: False 5
09:03:21.222 :: False 5
09:03:22.302 :: False 5
09:03:23.397 :: False 5
09:03:24.487 :: False 5
09:03:25.627 :: False 5
09:03:26.717 :: False 5
09:03:27.812 :: False 5
09:03:28.911 :: False 5
09:03:30.071 :: False 5
09:03:31.186 :: False 5
09:03:32.234 :: False 5
09:03:33.414 :: False 5
09:03:34.469 :: False 5
09:03:35.564 :: False 5
09:03:36.699 :: False 5
09:03:37.821 :: False 5
09:03:38.921 :: False 5
09:03:39.991 :: False 5
09:03:41.140 :: False 5
09:03:42.210 :: False 5
09:03:43.355 :: False 5
09:03:44.470 :: False 5
09:03:45.590 :: False 5
09:03:46.645 :: False 5
09:03:47.825 :: False 5
09:03:48.910 :: False 5
09:03:49.955 :: False 5
09:03:51.055 :: False 5
09:03:52.162 :: False 5
09:03:53.327 :: False 5
09:03:54.437 :: False 5
09:03:55.552 :: False 5
09:03:56.672 :: False 5
09:03:57.767 :: False 5
09:03:58.827 :: False 5
09:03:59.942 :: False 5
09:04:01.067 :: False 5
09:04:02.197 :: False 5
09:04:03.242 :: False 5
09:04:04.432 :: False 5
09:04:05.507 :: False 5
09:04:06.567 :: False 5
09:04:07.687 :: False 5
09:04:08.852 :: False 5
09:04:09.947 :: False 5
09:04:11.032 :: False 5
09:04:12.087 :: False 5
09:04:13.222 :: False 5
09:04:14.382 :: False 5
09:04:15.442 :: False 5
09:04:16.552 :: False 5
09:04:17.703 :: False 5
09:04:18.763 :: False 5
09:04:19.911 :: False 5
09:04:21.048 :: False 5
09:04:22.093 :: False 5
09:04:23.263 :: False 5
09:04:24.298 :: False 5
09:04:25.438 :: False 5
09:04:26.543 :: False 5
09:04:27.617 :: False 5
09:04:28.757 :: False 5
09:04:29.837 :: False 5
09:04:30.992 :: False 5
09:04:32.050 :: False 5
09:04:33.190 :: False 5
09:04:34.285 :: False 5
09:04:35.395 :: False 5
09:04:36.520 :: False 5
09:04:37.590 :: False 5
09:04:38.730 :: False 5
09:04:39.810 :: False 5
09:04:40.908 :: False 5
09:04:42.049 :: False 5
09:04:43.219 :: False 5
09:04:44.265 :: False 5
09:04:45.393 :: False 5
09:04:46.454 :: False 5
09:04:47.561 :: False 5
09:04:48.716 :: False 5
09:04:49.761 :: False 5
09:04:50.902 :: False 5
09:04:52.041 :: False 5
09:04:53.101 :: False 5
09:04:54.194 :: False 5
09:04:55.349 :: False 5
09:04:56.394 :: False 5
09:04:57.533 :: False 5
09:04:58.640 :: False 5
09:04:59.732 :: False 5
09:05:00.840 :: False 5
09:05:01.979 :: False 5
09:05:03.071 :: False 5
09:05:04.210 :: False 5
09:05:05.286 :: False 5
09:05:06.347 :: False 5
09:05:07.532 :: False 5
09:05:08.609 :: False 5
09:05:09.685 :: False 5
09:05:10.824 :: False 5
09:05:11.916 :: False 5
09:05:13.055 :: False 5
09:05:14.178 :: False 5
09:05:15.254 :: False 5
09:05:16.362 :: False 5
09:05:17.439 :: False 5
09:05:18.625 :: False 5
09:05:19.655 :: False 5
09:05:20.833 :: False 5
