08:48:45.332 :: ##### 프로그램 시작 #####
08:48:45.776 :: JIF :: 11-장전 동시호가 개시
08:48:46.066 :: 자동 로그인 시작
08:48:48.694 :: 로그인 시도..!!
08:48:49.169 :: 0000 :: 로그인 성공
08:48:49.389 :: t8430 :: 종목 기본 정보 저장 완료..!!
08:48:49.391 :: t8430 :: 시간 검색 타이머 구동
09:15:16.708 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:17.930 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:18.949 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:20.149 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:21.148 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:22.347 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:23.416 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:24.519 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:25.601 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:26.688 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:27.870 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:28.911 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:30.022 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:31.134 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:32.250 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:33.366 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:34.509 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:35.581 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:36.716 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:37.827 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:38.948 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:39.988 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:41.076 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:42.179 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:43.383 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:44.459 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:45.540 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:46.607 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:47.788 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:48.882 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:49.959 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:51.068 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:52.213 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:53.299 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:54.482 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:57.194 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:57.702 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:58.863 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:15:59.938 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:01.024 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:02.206 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:03.304 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:04.379 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:05.524 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:06.595 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:07.660 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:08.847 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:09.950 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:10.996 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:12.102 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:13.207 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:14.304 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:15.470 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:16.520 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:17.621 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:18.807 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:19.845 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:20.993 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:22.128 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:23.192 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:24.300 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:25.491 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:26.577 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:27.666 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:28.696 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:29.884 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:30.941 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:32.033 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:33.193 :: 당일 재매수 여부:False 당일 매수된 종목수:6
09:16:34.246 :: 당일 재매수 여부:False 당일 매수된 종목수:6
